solicitud_id,cliente_id,artista_id,campana_id,fecha_solicitud,hora_solicitud,canal_contacto,fuente_llegada,estilo_tatuaje,zona_cuerpo,tamano,monto_cotizado_clp,minutos_respuesta,estado_solicitud,etapa_pipeline,score_oportunidad
RES-0001,CLI-0001,ART-004,CAMP-TK-01,2026-05-24,13:00,WhatsApp,TikTok,tradicional,mano/dedos,pequeno,65000,23,pendiente,esperando respuesta cliente,12
RES-0002,CLI-0002,ART-001,CAMP-IG-01,2026-06-01,14:30,Instagram,Instagram,lettering,pecho,pequeno,45000,114,confirmada,reserva confirmada,32
RES-0003,CLI-0003,ART-004,CAMP-RET-01,2026-06-12,12:30,WhatsApp,cliente recurrente,lettering color,espalda,mediano,135000,83,confirmada,reserva confirmada,66
RES-0004,CLI-0004,ART-005,CAMP-TK-01,2026-05-13,11:30,Instagram,TikTok,geometrico color,brazo,sesion larga,260000,35,contactar,pendiente de contacto,52
RES-0005,CLI-0005,ART-001,CAMP-AIEP-01,2026-05-20,13:30,WhatsApp,evento AIEP,fine line,mano/dedos,mediano,90000,111,contactar,pendiente de contacto,21
RES-0006,CLI-0006,ART-004,CAMP-RET-01,2026-05-24,09:00,WhatsApp,cliente recurrente,lettering,tobillo,sesion larga,260000,167,pendiente,esperando respuesta cliente,55
RES-0007,CLI-0007,ART-006,CAMP-IG-01,2026-05-22,13:00,Instagram,Instagram,blackwork,mano/dedos,mediano,115000,118,pendiente,esperando respuesta cliente,21
RES-0008,CLI-0008,ART-001,CAMP-DIR-01,2026-05-21,17:30,WhatsApp,visita directa,minimalista,cuello,mediano,110000,105,confirmada,reserva confirmada,44
RES-0009,CLI-0009,ART-004,CAMP-REF-01,2026-06-08,16:00,WhatsApp,recomendacion,blackwork,hombro,sesion larga,360000,34,pendiente,esperando respuesta cliente,76
RES-0010,CLI-0010,ART-004,CAMP-AIEP-01,2026-05-20,13:00,Instagram,evento AIEP,tradicional color,antebrazo,pequeno,65000,162,confirmada,reserva confirmada,41
RES-0011,CLI-0011,ART-006,CAMP-IG-01,2026-05-20,11:00,WhatsApp,Instagram,blackwork,antebrazo,pequeno,60000,73,confirmada,reserva confirmada,35
RES-0012,CLI-0012,ART-004,CAMP-REF-01,2026-05-14,12:00,Instagram,recomendacion,blackwork,pecho,sesion larga,345000,59,pendiente,esperando respuesta cliente,74
RES-0013,CLI-0013,ART-002,CAMP-TK-01,2026-05-24,16:00,WhatsApp,TikTok,geometrico,hombro,mediano,105000,98,confirmada,reserva confirmada,43
